id,point_id,value,quality,source,updated_at
CPV-CHW-P-1_RUN_STATUS,CHW-P-1_RUN_STATUS,true,GOOD,BMS,2026-05-01 12:30
CPV-CHW-P-1_SPEED_COMMAND,CHW-P-1_SPEED_COMMAND,72,GOOD,BMS,2026-05-01 12:30
CPV-CHW-P-1_SPEED_FEEDBACK,CHW-P-1_SPEED_FEEDBACK,70,GOOD,BMS,2026-05-01 12:30
CPV-CHW-P-1_DISCHARGE_PRESSURE,CHW-P-1_DISCHARGE_PRESSURE,58,GOOD,BMS,2026-05-01 12:30
CPV-UPS-A_OUTPUT_KW,UPS-A_OUTPUT_KW,185,GOOD,EPMS,2026-05-01 12:30
CPV-UPS-A_BATTERY_STATUS,UPS-A_BATTERY_STATUS,Normal,GOOD,EPMS,2026-05-01 12:30
CPV-ATS-1_NORMAL_SOURCE_AVAILABLE,ATS-1_NORMAL_SOURCE_AVAILABLE,true,GOOD,EPMS,2026-05-01 12:30
CPV-ATS-1_EMERGENCY_SOURCE_AVAILABLE,ATS-1_EMERGENCY_SOURCE_AVAILABLE,true,GOOD,EPMS,2026-05-01 12:30
CPV-CRAC-2_SUPPLY_AIR_TEMP,CRAC-2_SUPPLY_AIR_TEMP,59.8,GOOD,BMS,2026-05-01 12:30
CPV-CRAC-2_RETURN_AIR_TEMP,CRAC-2_RETURN_AIR_TEMP,76.4,GOOD,BMS,2026-05-01 12:30
CPV-GEN-1_RUN_STATUS,GEN-1_RUN_STATUS,false,GOOD,EPMS,2026-05-01 12:30
CPV-GEN-1_FUEL_LEVEL,GEN-1_FUEL_LEVEL,82,GOOD,EPMS,2026-05-01 12:30
CPV-PDU-1_LOAD_KW,PDU-1_LOAD_KW,142,GOOD,EPMS,2026-05-01 12:30
CPV-AHU-1_SUPPLY_AIR_TEMP,AHU-1_SUPPLY_AIR_TEMP,61.2,GOOD,BMS,2026-05-01 12:30
CPV-TEMP-DH-A-1_SPACE_TEMP,TEMP-DH-A-1_SPACE_TEMP,72.4,GOOD,BMS,2026-05-01 12:30
CPV-HUM-DH-A-1_RELATIVE_HUMIDITY,HUM-DH-A-1_RELATIVE_HUMIDITY,48,GOOD,BMS,2026-05-01 12:30
CPV-MTR-UTILITY-1_VOLTAGE_AB,MTR-UTILITY-1_VOLTAGE_AB,480,GOOD,EPMS,2026-05-01 12:30
